Age_index,Age_contact,case,mean
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,1,0.124998438
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,1,0.199996
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
3,1,0,0
3,2,0,0
3,3,2,0.181816529
3,4,3,0.272724793
3,5,0,0
3,6,0,0
3,7,3,0.299997
3,8,1,0.071428061
3,9,2,0.181816529
3,10,1,0.111109877
3,11,2,0.666644445
3,12,3,0.272724793
4,1,0,0
4,2,1,0.24999375
4,3,1,0.124998438
4,4,1,0.111109877
4,5,0,0
4,6,0,0
4,7,0,0
4,8,1,0.124998438
4,9,1,0.099999
4,10,1,0.124998438
4,11,0,0
4,12,2,0.249996875
5,1,8,0.285713265
5,2,0,0
5,3,0,0
5,4,0,0
5,5,5,0.24999875
5,6,4,0.210525208
5,7,1,0.071428061
5,8,0,0
5,9,6,0.399997333
5,10,4,0.222220988
5,11,4,0.249998438
5,12,3,0.214284184
6,1,5,0.142856735
6,2,1,0.066666222
6,3,0,0
6,4,0,0
6,5,7,0.218749316
6,6,5,0.185184499
6,7,0,0
6,8,1,0.041666493
6,9,1,0.045454339
6,10,4,0.181817355
6,11,5,0.208332465
6,12,3,0.107142474
7,1,3,0.099999667
7,2,3,0.14999925
7,3,2,0.133332444
7,4,1,0.071428061
7,5,3,0.136363017
7,6,8,0.333331944
7,7,8,0.285713265
7,8,5,0.208332465
7,9,3,0.124999479
7,10,2,0.133332444
7,11,6,0.3529391
7,12,8,0.249999219
8,1,1,0.033333222
8,2,5,0.151514692
8,3,5,0.166666111
8,4,0,0
8,5,0,0
8,6,6,0.214284949
8,7,5,0.138888503
8,8,8,0.205127679
8,9,2,0.054053908
8,10,0,0
8,11,1,0.062499609
8,12,8,0.1999995
9,1,4,0.108107816
9,2,2,0.111110494
9,3,3,0.1111107
9,4,5,0.161289802
9,5,3,0.099999667
9,6,3,0.1111107
9,7,1,0.035714158
9,8,4,0.117646713
9,9,8,0.222221605
9,10,4,0.117646713
9,11,1,0.047618821
9,12,8,0.222221605
10,1,1,0.047618821
10,2,0,0
10,3,2,0.133332444
10,4,3,0.230767456
10,5,2,0.111110494
10,6,3,0.157893906
10,7,0,0
10,8,3,0.17646955
10,9,6,0.272726033
10,10,5,0.24999875
10,11,0,0
10,12,4,0.199999
11,1,3,0.142856463
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,5,0.312498047
11,7,0,0
11,8,2,0.15384497
11,9,3,0.272724793
11,10,3,0.214284184
11,11,3,0.199998667
11,12,3,0.187498828
12,1,2,0.057142694
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,2,0.083332986
12,7,1,0.03225796
12,8,1,0.029411678
12,9,0,0
12,10,0,0
12,11,3,0.1111107
12,12,8,0.242423508
